#  ID                log(P)        A0(V)       R21(V)     R31(V)    A0(I)      R21(I)     R31(I)     PC1(V)     PC2(V)     PC1(I)     PC2(I)
OGLE-LMC-CEP-0779    0.4083608     16.294      0.465      0.257     15.534      0.475      0.258     -0.038     -0.121      0.059      0.135
OGLE-LMC-CEP-0780    0.5828500     15.825      1.000      1.000     15.061      0.485      0.293      0.194     -0.048     -0.086      0.096
OGLE-LMC-CEP-0783    0.5296763     16.112      0.356      0.140     15.346      0.364      0.135     -0.054      0.012      0.041     -0.034
OGLE-LMC-CEP-0787    1.2435475     14.185      0.236      0.126     13.232      0.225      0.122      0.301      0.087     -0.396     -0.097
OGLE-LMC-CEP-0788    0.4777775     16.076      0.457      0.232     15.367      0.448      0.241     -0.010     -0.091      0.033      0.113
OGLE-LMC-CEP-0790    0.1739063     17.034      0.403      0.187     16.342      0.389      0.177     -0.157     -0.125      0.164      0.050
OGLE-LMC-CEP-0791    0.4484542     16.213      0.495      0.256     15.514      0.479      0.268     -0.066     -0.134      0.036      0.125
OGLE-LMC-CEP-0793    0.4221558     16.263      0.476      0.245     15.556      0.472      0.261     -0.010     -0.145      0.027      0.111
OGLE-LMC-CEP-0794    0.4489812     16.015      0.492      0.241     15.346      0.470      0.254     -0.015     -0.137      0.126      0.166
OGLE-LMC-CEP-0796    0.4435314     16.194      0.460      0.228     15.514      0.596      0.168      0.058     -0.013      0.021      0.118
OGLE-LMC-CEP-0798    1.0298072     14.807      0.116      0.065     13.911      0.126      0.075     -0.468      0.256      0.438     -0.223
OGLE-LMC-CEP-0800    1.1016148     14.476      0.192      0.118     13.643      0.173      0.126      0.009     -0.006     -0.016      0.035
OGLE-LMC-CEP-0801    1.3276116     13.805      0.342      0.257     12.875      0.357      0.249      0.165     -0.097     -0.202      0.117
OGLE-LMC-CEP-0802    0.4642739     16.153      0.518      0.274     15.486      0.484      0.285     -0.030     -0.136      0.009      0.125
OGLE-LMC-CEP-0804    0.5183173     16.159      0.437      0.202     15.365      0.430      0.219      0.004     -0.034     -0.044      0.024
OGLE-LMC-CEP-0805    0.7721604     15.337      0.400      0.171     14.574      0.409      0.188      0.257      0.065     -0.253     -0.068
OGLE-LMC-CEP-0806    0.4694776     16.368      0.400      0.158     15.591      0.400      0.184     -0.103     -0.054      0.034      0.005
OGLE-LMC-CEP-0807    0.3790536     16.293      0.482      0.287     15.619      0.485      0.266     -0.031     -0.113      0.083      0.148
OGLE-LMC-CEP-0808    0.6186818     15.924      0.164      0.037     15.136      0.203      0.033     -0.185      0.155      0.095     -0.192
OGLE-LMC-CEP-0812    1.0862018     14.626      0.137      0.164     13.713      0.153      0.149     -0.283      0.002      0.311     -0.031
OGLE-LMC-CEP-0815    0.5377363     16.051      0.325      0.116     15.275      0.349      0.120     -0.041      0.058      0.030     -0.069
OGLE-LMC-CEP-0818    0.4333243     16.205      0.469      0.230     15.497      0.463      0.234      0.153      0.054      0.013      0.093
OGLE-LMC-CEP-0819    1.3486405     14.080      0.277      0.183     13.002      0.279      0.170      0.252      0.058     -0.378     -0.054
OGLE-LMC-CEP-0820    1.2262503     14.450      0.363      0.096     13.551      0.251      0.153     -0.086      0.094     -0.168     -0.284
OGLE-LMC-CEP-0821    1.4116739     13.809      0.369      0.231     12.632      0.292      0.199      0.217     -0.003     -0.320     -0.039
OGLE-LMC-CEP-0822    0.4035531     16.461      0.428      0.221     15.713      0.445      0.228     -0.050     -0.104      0.038      0.075
OGLE-LMC-CEP-0823    0.4760380     16.234      0.356      0.149     15.484      0.357      0.138     -0.063      0.009      0.107     -0.002
OGLE-LMC-CEP-0824    0.6398085     15.611      0.465      0.239     14.875      0.460      0.242      0.075     -0.024     -0.134      0.012
OGLE-LMC-CEP-0825    0.8945789     15.004      0.287      0.060     14.159      0.253      0.070      0.114      0.217     -0.077     -0.198
OGLE-LMC-CEP-0827    0.0618348     17.276      0.369      0.176     16.638      0.388      0.175     -0.225     -0.144      0.299      0.161
OGLE-LMC-CEP-0828    0.4076900     16.320      0.464      0.257     15.613      0.476      0.268     -0.053     -0.122      0.050      0.131
OGLE-LMC-CEP-0829    0.1988517     17.088      0.471      0.316     16.353      0.451      0.265     -0.167     -0.195      0.124      0.135
OGLE-LMC-CEP-0830    0.6373507     15.755      0.402      0.150     14.988      0.391      0.169      0.041      0.032     -0.135     -0.077
OGLE-LMC-CEP-0831    0.9873358     14.698      0.207      0.149     13.864      0.206      0.147     -0.541      0.299      0.542     -0.229
OGLE-LMC-CEP-0833    0.8745587     15.281      0.117      0.012     14.421      0.130      0.001     -0.215      0.172      0.196     -0.237
OGLE-LMC-CEP-0834    0.4775569     16.296      0.455      0.251     15.501      0.452      0.241     -0.001     -0.060     -0.022      0.062
OGLE-LMC-CEP-0835    0.6592253     15.243      0.481      0.113     14.464      0.392      0.163      0.165      0.048      0.112      0.147
OGLE-LMC-CEP-0837    0.7617263     14.610      0.452      0.192     13.927      0.437      0.175      0.091     -0.010     -0.099      0.015
OGLE-LMC-CEP-0838    0.5875353     15.774      0.442      0.201     15.052      0.440      0.219      0.096     -0.030     -0.032      0.061
OGLE-LMC-CEP-0840    0.4337184     16.242      0.491      0.277     15.532      0.473      0.260     -0.014     -0.109      0.064      0.147
OGLE-LMC-CEP-0842    0.7114340     15.281      0.455      0.208     14.600      0.453      0.209      0.283      0.135     -0.120      0.011
OGLE-LMC-CEP-0843    0.9223205     15.515      0.332      0.123     14.481      0.315      0.131      0.314      0.182     -0.324     -0.144
OGLE-LMC-CEP-0844    1.2357850     13.930      0.380      0.220     13.055      0.266      0.183      0.090     -0.113     -0.014      0.191
OGLE-LMC-CEP-0845    0.6453011     15.732      0.447      0.215     14.952      0.459      0.223      0.209      0.103     -0.138      0.013
OGLE-LMC-CEP-0846    0.9567035     14.915      0.273      0.231     14.002      0.264      0.220      0.301      0.163     -0.306     -0.125
OGLE-LMC-CEP-0847    1.3146964     14.395      0.389      0.227     13.326      0.351      0.224      0.353      0.091     -0.510     -0.073
OGLE-LMC-CEP-0848    1.2038250     14.282      0.355      0.210     13.420      0.318      0.194      0.174     -0.080     -0.190      0.162
OGLE-LMC-CEP-0850    0.6447827     15.603      0.460      0.244     14.880      0.449      0.234      0.125      0.014     -0.088      0.051
OGLE-LMC-CEP-0851    0.4284579     16.371      0.451      0.252     15.601      0.449      0.231     -0.017     -0.074      0.023      0.077
OGLE-LMC-CEP-0852    0.6369729     15.739      0.455      0.234     14.991      0.447      0.230      0.116     -0.008     -0.100      0.031
OGLE-LMC-CEP-0853    0.4810701     17.083      0.420      0.209     16.041      0.411      0.205     -0.008     -0.053      0.018      0.055
OGLE-LMC-CEP-0854    0.9565732     14.707      0.224      0.068     13.894      0.226      0.071      0.224      0.217     -0.280     -0.268
OGLE-LMC-CEP-0858    0.5066730     16.102      0.387      0.180     15.362      0.387      0.181     -0.001     -0.023      0.016      0.029
OGLE-LMC-CEP-0860    0.4874355     16.125      0.474      0.284     15.409      0.486      0.278     -0.017     -0.117     -0.027      0.108
OGLE-LMC-CEP-0861    0.2626427     16.892      0.441      0.230     16.153      0.437      0.238     -0.084     -0.091      0.094      0.096
OGLE-LMC-CEP-0862    0.4829985     16.211      0.392      0.178     15.287      0.375      0.172     -0.039     -0.055      0.032      0.008
OGLE-LMC-CEP-0863    0.5152901     16.393      0.306      0.108     15.556      0.313      0.108     -0.028      0.057      0.082     -0.053
OGLE-LMC-CEP-0866    0.5377615     15.926      0.438      0.250     15.163      0.435      0.243      0.008     -0.085     -0.005      0.084
OGLE-LMC-CEP-0869    0.6075474     15.680      0.455      0.228     14.968      0.458      0.240      0.116     -0.023     -0.021      0.098
OGLE-LMC-CEP-0871    0.9594125     15.198      0.046      0.035     14.278      0.042      0.007     -0.535      0.236      0.370     -0.211
OGLE-LMC-CEP-0877    0.5778798     15.613      0.417      0.139     14.854      0.445      0.259      0.157     -0.013      0.013      0.098
OGLE-LMC-CEP-0878    0.9877802     14.769      0.169      0.089     13.928      0.181      0.089     -0.430      0.345      0.431     -0.297
OGLE-LMC-CEP-0882    0.6802757     15.668      0.392      0.140     14.859      0.364      0.130      0.146      0.115     -0.074     -0.048
OGLE-LMC-CEP-0884    0.8869001     14.868      0.388      0.203     14.131      0.362      0.214      0.221      0.079     -0.167     -0.015
OGLE-LMC-CEP-0885    0.4399512     16.918      0.465      0.255     15.975      0.479      0.266     -0.053     -0.151      0.059      0.141
OGLE-LMC-CEP-0886    0.6415522     15.643      0.416      0.201     14.896      0.416      0.199      0.067      0.005     -0.084     -0.013
OGLE-LMC-CEP-0888    0.9717049     14.809      0.190      0.083     13.977      0.208      0.075     -0.452      0.314      0.384     -0.350
OGLE-LMC-CEP-0889    0.5008403     15.620      0.425      0.222     14.830      0.415      0.215     -0.046     -0.097      0.041      0.071
OGLE-LMC-CEP-0893    0.3830305     16.328      0.477      0.260     15.679      0.474      0.254     -0.056     -0.143      0.067      0.124
OGLE-LMC-CEP-0896    0.5363542     15.952      0.484      0.314     15.256      0.446      0.235     -0.105     -0.144     -0.043      0.058
OGLE-LMC-CEP-0899    0.5453253     16.034      0.415      0.201     15.262      0.423      0.205     -0.001     -0.027     -0.017      0.024
OGLE-LMC-CEP-0904    0.4208258     16.606      0.476      0.260     15.856      0.487      0.266     -0.026     -0.110      0.035      0.128
OGLE-LMC-CEP-0908    0.5305357     16.027      0.458      0.256     15.291      0.451      0.251      0.050     -0.071     -0.078      0.066
OGLE-LMC-CEP-0915    0.8689743     15.023      0.380      0.169     14.193      0.368      0.151      0.234      0.140     -0.272     -0.122
OGLE-LMC-CEP-0917    0.2103706     16.929      0.329      0.119     16.236      0.339      0.118     -0.192     -0.065      0.192     -0.008
OGLE-LMC-CEP-0919    0.6871422     15.503      0.435      0.187     14.747      0.424      0.188      0.127      0.039     -0.128     -0.014
OGLE-LMC-CEP-0922    0.9356288     14.919      0.208      0.089     14.152      0.237      0.077     -0.448      0.411      0.355     -0.410
OGLE-LMC-CEP-0923    1.0814933     14.272      0.141      0.124     13.423      0.163      0.125     -0.320      0.051      0.346     -0.067
OGLE-LMC-CEP-0926    0.6698688     15.669      0.487      0.225     14.890      0.474      0.238      0.124      0.028     -0.115      0.039
OGLE-LMC-CEP-0927    0.9572977     14.852      0.310      0.146     13.992      0.297      0.157      0.240      0.163     -0.191     -0.120
OGLE-LMC-CEP-0930    0.5349908     16.857      0.440      0.222     15.832      0.449      0.259      0.071     -0.038     -0.003      0.105
OGLE-LMC-CEP-0931    0.7644383     15.095      0.368      0.147     14.387      0.373      0.134      0.028      0.003      0.026     -0.033
OGLE-LMC-CEP-0933    0.4616111     16.028      0.432      0.220     15.359      0.475      0.273     -0.013     -0.126      0.072      0.148
OGLE-LMC-CEP-0934    0.7046564     15.557      0.424      0.200     14.803      0.443      0.203      0.188      0.021     -0.101      0.019
OGLE-LMC-CEP-0935    1.3246481     13.929      0.325      0.072     12.977      0.247      0.132     -0.004      0.123     -0.161     -0.272
OGLE-LMC-CEP-0936    0.9208562     15.005      0.289      0.204     14.161      0.291      0.210      0.314      0.171     -0.334     -0.125
OGLE-LMC-CEP-0938    0.5451750     15.951      0.393      0.199     15.211      0.388      0.188      0.011     -0.033     -0.022      0.004
OGLE-LMC-CEP-0939    0.4566294     16.219      0.402      0.186     15.489      0.406      0.188     -0.047     -0.048      0.023      0.032
OGLE-LMC-CEP-0940    0.6475636     16.129      0.482      0.239     15.231      0.458      0.252      0.146      0.052     -0.084      0.040
OGLE-LMC-CEP-0941    0.2373563     16.876      0.437      0.239     16.239      0.447      0.248     -0.115     -0.131      0.100      0.109
OGLE-LMC-CEP-0949    1.1111500     14.431      0.244      0.129     13.613      0.197      0.126      0.013     -0.032     -0.012      0.079
OGLE-LMC-CEP-0951    0.4932342     16.024      0.423      0.212     15.388      0.419      0.221      0.044     -0.035      0.015      0.080
OGLE-LMC-CEP-0952    0.4946045     16.104      0.468      0.237     15.394      0.470      0.257      0.008     -0.059      0.022      0.104
OGLE-LMC-CEP-0954    0.4457605     16.183      0.425      0.250     15.490      0.456      0.241     -0.051     -0.121      0.027      0.089
OGLE-LMC-CEP-0957    0.4484696     16.298      0.434      0.221     15.542      0.451      0.226      0.043     -0.032      0.008      0.081
OGLE-LMC-CEP-0960    0.4670601     16.165      0.416      0.211     15.440      0.421      0.205      0.011     -0.035      0.022      0.041
OGLE-LMC-CEP-0961    0.5695306     15.897      0.432      0.231     15.167      0.441      0.232      0.049     -0.055     -0.013      0.079
OGLE-LMC-CEP-0962    0.5941271     15.166      0.515      0.216     14.963      0.133      0.158     -0.074      0.014      0.124      0.048
OGLE-LMC-CEP-0963    0.9401841     14.733      0.323      0.204     13.911      0.312      0.207      0.319      0.165     -0.305     -0.096
OGLE-LMC-CEP-0964    0.4461562     16.056      0.450      0.235     15.402      0.455      0.252     -0.014     -0.082      0.090      0.135
OGLE-LMC-CEP-0967    0.4583871     16.433      0.310      0.123     15.615      0.279      0.089     -0.238     -0.046      0.147     -0.068
OGLE-LMC-CEP-0969    1.1045495     14.636      0.119      0.132     13.691      0.095      0.136      0.037      0.118     -0.146     -0.215
OGLE-LMC-CEP-0970    1.2420299     14.244      0.198      0.122     13.254      0.183      0.128      0.147      0.100     -0.213     -0.111
OGLE-LMC-CEP-0971    0.6823795     15.653      0.492      0.206     14.859      0.450      0.208      0.185      0.042     -0.175      0.001
OGLE-LMC-CEP-0972    0.6540757     14.969      1.419      1.180     15.067      0.430      0.168      0.239      0.167     -0.144     -0.045
OGLE-LMC-CEP-0973    1.0197659     14.065      0.143      0.116     12.867      0.151      0.114     -0.623      0.148      0.592     -0.129
OGLE-LMC-CEP-0974    0.5042552     15.943      0.416      0.243     15.270      0.428      0.229      0.055     -0.047      0.001      0.069
OGLE-LMC-CEP-0975    1.1010676     14.583      0.077      0.112     13.679      0.070      0.120     -0.013      0.170      0.029     -0.212
OGLE-LMC-CEP-0976    0.5003651     16.117      0.441      0.226     15.379      0.450      0.239      0.050     -0.034      0.002      0.077
OGLE-LMC-CEP-0977    0.6056238     16.074      0.379      0.131     15.224      0.369      0.141      0.053      0.067     -0.045     -0.054
OGLE-LMC-CEP-0978    1.0220183     14.826      0.211      0.034     13.832      0.190      0.062     -0.422      0.431      0.419     -0.379
OGLE-LMC-CEP-0984    0.6417535     16.545      0.429      0.182     15.497      0.407      0.166      0.056      0.024     -0.111     -0.059
OGLE-LMC-CEP-0986    1.4920685     13.412      0.434      0.317     12.432      0.409      0.264      0.310      0.071     -0.507     -0.066
OGLE-LMC-CEP-0989    0.4297600     16.218      0.482      0.250     15.522      0.472      0.262      0.153      0.034      0.018      0.116
OGLE-LMC-CEP-0990    0.5815047     15.823      0.405      0.201     15.097      0.395      0.195      0.040     -0.002     -0.026      0.022
OGLE-LMC-CEP-0993    0.5366661     15.962      0.443      0.212     15.226      0.418      0.229      0.021     -0.063      0.020      0.084
OGLE-LMC-CEP-0994    0.6273935     15.870      0.444      0.205     15.063      0.433      0.207      0.179      0.110     -0.130     -0.043
OGLE-LMC-CEP-0997    0.6540028     15.607      0.423      0.176     14.814      0.432      0.203      0.110      0.032     -0.132     -0.005
OGLE-LMC-CEP-0998    0.3359700     16.738      0.504      0.313     15.968      0.493      0.276     -0.099     -0.142      0.128      0.170
OGLE-LMC-CEP-1001    1.1603755     14.401      0.148      0.163     13.483      0.126      0.136      0.088      0.113     -0.157     -0.177
OGLE-LMC-CEP-1002    0.5460386     16.249      0.461      0.274     15.415      0.462      0.264      0.055     -0.061     -0.004      0.112
OGLE-LMC-CEP-1003    0.6024296     15.867      0.355      0.151     15.087      0.394      0.167      0.170      0.151     -0.005     -0.048
OGLE-LMC-CEP-1004    0.5734263     15.953      0.435      0.215     15.210      0.431      0.219      0.037     -0.021     -0.055      0.030
OGLE-LMC-CEP-1006    0.5140927     16.207      0.457      0.290     15.415      0.469      0.275      0.082     -0.033     -0.024      0.099
OGLE-LMC-CEP-1009    0.6908620     15.683      0.411      0.166     14.866      0.420      0.171      0.094      0.038     -0.145     -0.051
OGLE-LMC-CEP-1010    0.6815468     15.631      0.450      0.187     14.900      0.434      0.185      0.124      0.057     -0.164     -0.050
OGLE-LMC-CEP-1011    0.6236849     15.790      0.435      0.211     15.046      0.453      0.230      0.162      0.032     -0.097      0.036
OGLE-LMC-CEP-1012    0.7152389     15.631      0.395      0.142     14.806      0.389      0.143      0.113      0.053     -0.128     -0.063
OGLE-LMC-CEP-1013    0.5747828     15.907      0.416      0.194     15.142      0.423      0.201      0.088      0.060     -0.039      0.001
OGLE-LMC-CEP-1015    0.6367082     15.765      0.483      0.358     14.974      0.456      0.235      0.109     -0.028     -0.096      0.048
OGLE-LMC-CEP-1018    0.3724735     16.173      0.439      0.219     15.542      0.456      0.232     -0.017     -0.124      0.130      0.142
OGLE-LMC-CEP-1019    0.6693471     15.668      0.447      0.202     14.895      0.436      0.192      0.125      0.033     -0.143     -0.030
OGLE-LMC-CEP-1020    0.6126439     16.096      0.437      0.207     15.219      0.429      0.203      0.011     -0.030     -0.075      0.004
OGLE-LMC-CEP-1022    0.7009180     15.621      0.399      0.144     14.784      0.395      0.152      0.143      0.087     -0.116     -0.075
OGLE-LMC-CEP-1025    0.4354750     16.193      0.443      0.241     15.498      0.463      0.244     -0.013     -0.093      0.029      0.109
OGLE-LMC-CEP-1029    0.7511093     15.663      0.373      0.111     14.811      0.363      0.094      0.157      0.124     -0.195     -0.138
OGLE-LMC-CEP-1030    0.4705397     16.029      0.507      0.330     15.387      0.490      0.297     -0.053     -0.166      0.035      0.152
OGLE-LMC-CEP-1031    1.2664574     14.418      0.221      0.090     13.328      0.222      0.142      0.315      0.092     -0.311     -0.085
OGLE-LMC-CEP-1035    0.4709445     15.939      0.371      0.178     15.281      0.357      0.163      0.021      0.010      0.028     -0.013
OGLE-LMC-CEP-1039    0.4305321     16.161      0.467      0.256     15.466      0.508      0.291     -0.047     -0.143      0.082      0.165
OGLE-LMC-CEP-1044    0.6013216     15.893      0.403      0.183     15.124      0.396      0.185      0.087     -0.019     -0.068     -0.007
OGLE-LMC-CEP-1045    0.6761110     15.632      0.460      0.212     14.851      0.446      0.207      0.121      0.014     -0.133      0.007
OGLE-LMC-CEP-1047    0.5552298     16.012      0.447      0.221     15.265      0.439      0.225      0.003     -0.055     -0.056      0.035
OGLE-LMC-CEP-1051    0.4912018     16.287      0.437      0.228     15.496      0.442      0.224     -0.037     -0.073     -0.034      0.036
OGLE-LMC-CEP-1052    0.6351161     15.720      0.432      0.194     14.923      0.413      0.191      0.014      0.017     -0.042     -0.011
OGLE-LMC-CEP-1053    0.3771446     16.422      0.483      0.272     15.725      0.510      0.285     -0.057     -0.138      0.110      0.174
OGLE-LMC-CEP-1056    0.6494050     15.801      0.434      0.211     14.986      0.437      0.209      0.077      0.014     -0.158     -0.039
OGLE-LMC-CEP-1057    0.7053428     15.519      0.433      0.184     14.737      0.445      0.195      0.182      0.087     -0.166     -0.037
OGLE-LMC-CEP-1058    1.4828586     13.435      0.401      0.277     12.499      0.378      0.229      0.136      0.137     -0.370     -0.264
OGLE-LMC-CEP-1061    0.4146474     16.496      0.492      0.234     15.699      0.479      0.256     -0.039     -0.113      0.071      0.133
OGLE-LMC-CEP-1070    0.4454320     16.252      0.430      0.230     15.531      0.446      0.226     -0.044     -0.102      0.022      0.083
OGLE-LMC-CEP-1071    0.5290827     16.175      0.346      0.139     15.378      0.345      0.124     -0.098     -0.010      0.027     -0.079
OGLE-LMC-CEP-1072    0.4259121     16.425      0.474      0.272     15.696      0.473      0.253     -0.046     -0.094     -0.004      0.074
OGLE-LMC-CEP-1073    0.7134949     15.211      0.413      0.203     14.497      0.411      0.200      0.034     -0.035     -0.068      0.006
OGLE-LMC-CEP-1074    0.4329875     16.409      0.467      0.234     15.650      0.462      0.246      0.008     -0.083      0.036      0.113
OGLE-LMC-CEP-1076    0.6316296     15.876      0.379      0.147     15.071      0.378      0.147      0.028      0.057     -0.080     -0.091
OGLE-LMC-CEP-1077    0.6678535     15.374      0.443      0.200     14.515      0.458      0.201      0.178      0.069     -0.116     -0.001
OGLE-LMC-CEP-1078    0.9324323     14.723      0.292      0.228     13.915      0.278      0.225      0.278      0.132     -0.240     -0.066
OGLE-LMC-CEP-1079    0.6243451     15.845      0.191      0.063     14.997      0.214      0.038     -0.328      0.018      0.201     -0.157
OGLE-LMC-CEP-1080    1.2709453     14.004      0.212      0.130     12.986      0.221      0.134      0.199      0.070     -0.298     -0.069
OGLE-LMC-CEP-1081    0.6232501     15.646      0.450      0.262     14.969      0.466      0.238      0.108      0.010     -0.062      0.060
OGLE-LMC-CEP-1083    0.9493690     14.688      0.187      0.193     13.946      0.187      0.186     -0.590      0.237      0.603     -0.161
OGLE-LMC-CEP-1085    0.5985923     15.858      0.505      0.282     15.073      0.465      0.246      0.044     -0.023     -0.127      0.017
OGLE-LMC-CEP-1086    1.2355642     14.392      0.299      0.160     13.456      0.270      0.157      0.385      0.104     -0.479     -0.083
OGLE-LMC-CEP-1087    0.5545766     16.101      0.398      0.175     15.291      0.397      0.185      0.057      0.019     -0.040     -0.027
OGLE-LMC-CEP-1088    1.1423638     14.332      0.094      0.159     13.410      0.105      0.141     -0.153      0.002      0.175     -0.033
OGLE-LMC-CEP-1092    0.4926867     16.293      0.456      0.242     15.496      0.453      0.238      0.007     -0.045     -0.023      0.061
OGLE-LMC-CEP-1093    0.5547205     16.136      0.408      0.194     15.320      0.414      0.191      0.016     -0.015     -0.026      0.011
OGLE-LMC-CEP-1094    0.8457487     15.150      0.415      0.149     14.316      0.421      0.155      0.170      0.064     -0.189     -0.056
OGLE-LMC-CEP-1096    0.6403748     15.515      0.408      0.208     14.791      0.414      0.208      0.033     -0.049     -0.034      0.025
OGLE-LMC-CEP-1107    0.4960625     16.423      0.397      0.239     15.542      0.425      0.231      0.005     -0.074      0.018      0.072
OGLE-LMC-CEP-1108    0.4825670     16.232      0.298      0.092     15.514      0.296      0.098     -0.117      0.015      0.141     -0.068
OGLE-LMC-CEP-1109    1.0740987     14.450      0.212      0.170     13.613      0.217      0.155     -0.193     -0.039      0.268      0.049
OGLE-LMC-CEP-1110    0.6932238     15.795      0.244      0.088     14.955      0.391      0.126      0.162     -0.001     -0.327     -0.207
OGLE-LMC-CEP-1112    0.8990559     14.745      0.368      0.123     13.943      0.361      0.137      0.163      0.046     -0.146     -0.060
OGLE-LMC-CEP-1114    0.6170818     15.643      0.462      0.234     14.891      0.457      0.250      0.068     -0.046     -0.062      0.067
OGLE-LMC-CEP-1115    0.9855016     14.804      0.193      0.091     13.944      0.201      0.099     -0.401      0.378      0.428     -0.304
OGLE-LMC-CEP-1116    0.5184840     16.406      0.458      0.237     15.540      0.453      0.248     -0.011     -0.065     -0.010      0.082
OGLE-LMC-CEP-1118    0.5774197     15.893      0.414      0.224     15.157      0.405      0.210      0.013     -0.040     -0.024      0.043
OGLE-LMC-CEP-1120    1.0757282     14.645      0.115      0.147     13.717      0.100      0.129     -0.021      0.038     -0.007     -0.078
OGLE-LMC-CEP-1122    0.6712878     15.710      0.452      0.201     14.918      0.438      0.202      0.131      0.060     -0.122     -0.012
OGLE-LMC-CEP-1124    0.6490659     15.831      0.411      0.159     14.992      0.397      0.169      0.038      0.030     -0.103     -0.064
OGLE-LMC-CEP-1127    0.6485162     15.829      0.397      0.163     15.019      0.370      0.152      0.127      0.106     -0.133     -0.083
OGLE-LMC-CEP-1128    0.8364887     15.089      0.421      0.205     14.304      0.387      0.210      0.249      0.088     -0.221     -0.042
OGLE-LMC-CEP-1129    0.7656653     15.524      0.325      0.121     14.774      0.340      0.117      0.170      0.087     -0.224     -0.113
OGLE-LMC-CEP-1135    0.4405095     16.438      0.443      0.218     15.637      0.436      0.216     -0.025     -0.079      0.024      0.073
OGLE-LMC-CEP-1136    0.4834204     15.982      0.430      0.231     15.260      0.412      0.218     -0.007     -0.077      0.056      0.085
OGLE-LMC-CEP-1139    0.4430642     16.299      0.394      0.171     15.564      0.383      0.177     -0.015     -0.007      0.085      0.041
OGLE-LMC-CEP-1140    0.9130978     14.636      0.284      0.175     13.922      0.289      0.188      0.216      0.112     -0.170     -0.080
OGLE-LMC-CEP-1141    0.7627918     15.398      0.437      0.170     14.601      0.427      0.165      0.207      0.063     -0.189     -0.031
OGLE-LMC-CEP-1142    0.6464225     15.871      0.324      0.082     14.948      0.281      0.073      0.091      0.192     -0.051     -0.158
OGLE-LMC-CEP-1144    0.5629419     16.854      0.466      0.192     15.800      0.412      0.191      0.022     -0.068     -0.058     -0.014
OGLE-LMC-CEP-1145    0.5239119     15.900      0.402      0.198     15.186      0.414      0.219      0.019     -0.078     -0.005      0.045
OGLE-LMC-CEP-1146    0.4335876     16.265      0.455      0.232     15.532      0.449      0.241     -0.039     -0.108      0.052      0.110
OGLE-LMC-CEP-1149    0.4021633     16.468      0.449      0.215     15.708      0.454      0.232     -0.054     -0.100      0.043      0.093
OGLE-LMC-CEP-1150    0.5463887     16.167      0.448      0.234     15.335      0.459      0.243      0.054     -0.029      0.004      0.119
OGLE-LMC-CEP-1156    0.6541680     16.168      0.466      0.221     15.269      0.459      0.215      0.107      0.025     -0.170     -0.023
OGLE-LMC-CEP-1161    0.4727948     16.252      0.420      0.188     15.491      0.431      0.205     -0.033     -0.069      0.004      0.042
OGLE-LMC-CEP-1165    0.4878195     16.196      0.424      0.223     15.426      0.416      0.224     -0.019     -0.094      0.005      0.053
OGLE-LMC-CEP-1166    1.1432935     14.395      0.224      0.133     13.483      0.194      0.132      0.076     -0.019     -0.094      0.028
OGLE-LMC-CEP-1169    0.4541069     17.023      0.427      0.203     15.976      0.443      0.225      0.035     -0.049     -0.003      0.063
OGLE-LMC-CEP-1170    0.5652920     15.905      0.424      0.217     15.172      0.427      0.221      0.068     -0.002     -0.044      0.028
OGLE-LMC-CEP-1172    0.6835571     15.429      0.445      0.208     14.699      0.451      0.207      0.110     -0.023     -0.124      0.020
OGLE-LMC-CEP-1173    0.1503279     16.999      0.306      0.120     16.304      0.327      0.125     -0.306     -0.120      0.307      0.060
OGLE-LMC-CEP-1176    0.8587475     15.069      0.137      0.019     14.323      0.124      0.015     -0.184      0.226      0.313     -0.202
OGLE-LMC-CEP-1180    1.1797499     14.311      0.226      0.129     13.431      0.189      0.136      0.072     -0.030     -0.149     -0.026
OGLE-LMC-CEP-1181    0.2981636     16.564      0.410      0.184     15.851      0.412      0.193     -0.089     -0.086      0.100      0.074
OGLE-LMC-CEP-1184    1.1526438     14.599      0.217      0.112     13.591      0.169      0.124      0.159      0.054     -0.270     -0.083
OGLE-LMC-CEP-1185    0.7317588     16.118      0.316      0.079     15.087      0.302      0.080      0.065      0.109     -0.126     -0.190
OGLE-LMC-CEP-1186    0.2550765     16.803      0.466      0.304     16.101      0.491      0.313     -0.156     -0.345      0.164      0.178
OGLE-LMC-CEP-1188    0.4954185     16.052      0.473      0.294     15.328      0.475      0.287     -0.010     -0.127      0.025      0.129
OGLE-LMC-CEP-1190    0.6313165     15.641      1.000      1.000     14.922      0.463      0.247      0.171     -0.133     -0.095      0.048
OGLE-LMC-CEP-1192    0.6951437     15.759      0.431      0.169     14.971      0.435      0.182      0.212      0.099     -0.181     -0.014
OGLE-LMC-CEP-1194    0.5091357     16.203      0.443      0.241     15.428      0.459      0.246      0.154      0.062     -0.010      0.063
OGLE-LMC-CEP-1195    0.5135008     16.115      0.426      0.230     15.382      0.440      0.242     -0.005     -0.063     -0.058      0.018
OGLE-LMC-CEP-1198    0.4027312     16.301      0.497      0.264     15.603      0.495      0.274     -0.021     -0.112      0.097      0.163
OGLE-LMC-CEP-1200    0.8245754     15.366      0.382      0.143     14.475      0.370      0.146      0.225      0.131     -0.264     -0.123
